0,"[104.058609, 30.658905]",国信大厦,商务住宅;楼宇;商务写字楼,[],成都市,青羊区,"104.061353,30.656056"
0,"[104.058609, 30.658905]",成都银行大厦,商务住宅;楼宇;商务写字楼,[],成都市,青羊区,"104.061394,30.656606"
0,"[104.058609, 30.658905]",成都银行(西御支行),金融保险服务;银行;银行,[],成都市,青羊区,"104.061536,30.656524"
0,"[104.058609, 30.658905]",成都银行国际业务部,金融保险服务;银行相关;银行相关|金融保险服务;银行;银行,[],成都市,青羊区,"104.061540,30.656523"
0,"[104.058609, 30.658905]",龅牙兔儿童情商乐园(国信大厦店),科教文化服务;培训机构;培训机构,[],成都市,青羊区,"104.061664,30.656155"
0,"[104.058609, 30.658905]",尚孔教育(天府广场学习中心),科教文化服务;培训机构;培训机构,[],成都市,青羊区,"104.061529,30.656219"
1,"[104.06044, 30.654373]",长富花园,商务住宅;住宅区;住宅小区,[],成都市,青羊区,"104.062828,30.651797"
1,"[104.06044, 30.654373]",长富广场,商务住宅;楼宇;商务写字楼,[],成都市,青羊区,"104.063196,30.651859"
1,"[104.06044, 30.654373]",金盾路7号院,商务住宅;住宅区;住宅小区,[],成都市,青羊区,"104.063023,30.652571"
1,"[104.06044, 30.654373]",南灯巷2号院,商务住宅;住宅区;住宅小区,[],成都市,青羊区,"104.063583,30.653159"
1,"[104.06044, 30.654373]",成都艾默生机房空调店,购物服务;家电电子卖场;家电电子卖场,[],成都市,青羊区,"104.063294,30.652150"
1,"[104.06044, 30.654373]",云盾安防,购物服务;家电电子卖场;数码电子,[],成都市,青羊区,"104.063363,30.652545"
1,"[104.06044, 30.654373]",金鑫恒丰,公司企业;公司;公司,[],成都市,青羊区,"104.063034,30.652688"
1,"[104.06044, 30.654373]",德昌行物业服务有限公司长富花园服务中心,公司企业;公司;公司,[],成都市,青羊区,"104.062938,30.652177"
1,"[104.06044, 30.654373]",成都鸿安泰达科技发展有限公司,公司企业;公司;公司,[],成都市,青羊区,"104.062808,30.652245"
1,"[104.06044, 30.654373]",三七广告印刷,公司企业;公司;广告装饰|生活服务;生活服务场所;生活服务场所,[],成都市,青羊区,"104.063356,30.652967"
2,"[104.067839, 30.662848]",四川广电国际大厦,商务住宅;楼宇;商务写字楼,[],成都市,青羊区,"104.070348,30.660347"
2,"[104.067839, 30.662848]",四川省成都市国力公证处,政府机构及社会团体;公检法机构;公证鉴定机构,[],成都市,青羊区,"104.070558,30.659874"
2,"[104.067839, 30.662848]",华顺大厦(顺城大街),商务住宅;楼宇;商务写字楼,[],成都市,青羊区,"104.070424,30.659838"
2,"[104.067839, 30.662848]",东华门幼儿园,科教文化服务;学校;幼儿园,[],成都市,青羊区,"104.069485,30.659930"
2,"[104.067839, 30.662848]",华瑞商务大楼,商务住宅;楼宇;商务写字楼,[],成都市,青羊区,"104.070540,30.660601"
2,"[104.067839, 30.662848]",永安财产保险股份有限公司(四川分公司),金融保险服务;保险公司;保险公司,[],成都市,青羊区,"104.070353,30.660298"
2,"[104.067839, 30.662848]",中财大楼,商务住宅;楼宇;商务写字楼,[],成都市,青羊区,"104.069811,30.66027"
2,"[104.067839, 30.662848]",中共四川省委信访办,政府机构及社会团体;政府机关;省直辖市级政府及事业单位,[],成都市,青羊区,"104.069885,30.659964"
2,"[104.067839, 30.662848]",大有巷12号院,商务住宅;住宅区;住宅小区,[],成都市,青羊区,"104.069751,30.661537"
